Team,eFG%,eFG% Def,FTR,FTR Def,OR%,DR%,TO%,TO% Def.,3P%,3pD%,2p%,2p%D,ft%,ft%D,3P rate,3P rate D,arate,arateD,rank,team,conf,record,adjoe,adjde,barthag,sos,adjt,Year,EFG Z,EFGD Z,TOR Z,TORD Z,ORB Z,DRB Z,FTR Z,FTRD Z,2P Z,2PD Z,3P Z,3PD Z,3PR Z,3PRD Z,Adj T Z
Michigan,60.1,41.9,40.5,28.4,34.1,27.1,16.2,17.299999999999997,36.0,30.1,64.7,39.5,72.7,70.8,43.3,42.3,60.9,41.0,1,Michigan,B10,14-1,127.48013369668554,88.39536430392366,0.9853797798172304,0.7173281139916506,74.47282914666208,2026,2.3867215631198517,-2.683774062679452,-0.5420069303720855,-0.011467015002874717,0.7083698831224579,-1.1399394431013343,0.8268040517307672,-1.191148851249114,2.856468205889891,-2.983411040239629,0.8487040320761503,-1.2731079846836306,0.6159894454136559,0.5553040811196984,2.4194553937198218
Detroit Mercy,47.1,53.5,33.300000000000004,41.0,35.099999999999994,31.9,16.8,15.1,31.3,35.5,47.1,53.7,78.1,72.2,32.4,45.9,49.2,62.7,234,Detroit Mercy,Horz,7-9,108.72167486400716,114.8017632345823,0.3484679835801969,0.3995502863300803,70.0414400327562,2026,-1.053225529099243,0.6534063723821619,-0.26493055840316154,-0.9607467106016334,0.9368157280947987,0.21748181994055946,-0.421524713033368,0.8016098125903452,-1.0092838280354182,0.4595483963390164,-0.7463351517830048,0.6831529008012318,-1.2283167019209555,1.3386315771919317,0.7636148478382565
Grand Canyon,50.7,48.1,37.5,37.0,33.900000000000006,24.8,17.9,19.0,30.1,31.0,54.1,49.3,76.5,71.1,38.5,40.7,51.4,49.6,72,Grand Canyon,MWC,10-5,107.0506238747354,96.2137279226252,0.7733618969437056,0.4854997054434685,68.0777397895878,2026,-0.10062479586933945,-0.9001086577327267,0.24304279020653025,0.7220672952325318,0.6626807141279903,-1.7903704649755756,0.30666706641237723,0.16898801454607254,0.5282311854576023,-0.607284105136058,-1.1535791987257678,-0.9470645037694873,-0.19618206900892496,0.20715852730981837,0.029855207459992567
Illinois St.,54.0,47.9,34.9,36.0,30.1,25.4,16.0,17.8,34.4,32.2,55.7,47.7,68.2,66.1,41.3,36.5,50.7,47.6,81,Illinois St.,MVC,12-5,110.63403917160312,100.37329831431498,0.7538613181582363,0.4189574666700272,66.78453068670395,2026,0.7725925429247377,-0.9576462514406865,-0.634365721028393,0.2042783703604813,-0.2054134967669119,-1.6206928070953392,-0.144118320863561,0.010832565035004363,0.8796631885417215,-0.9952231965815377,0.3057119694857991,-0.5123398625506278,0.27758464773758035,-0.7067235514411206,-0.4533675499680486
Florida Atlantic,54.0,51.0,31.5,35.9,33.2,26.4,17.9,17.0,35.2,35.9,55.0,49.2,73.3,72.5,42.7,37.9,47.8,48.6,95,Florida Atlantic,Amer,11-6,113.95651944490815,104.56141269444528,0.7289866727655337,0.4920430571371276,70.46846051609617,2026,0.7725925429247377,-0.06581354896732379,0.24304279020653025,-0.1409142462208862,0.50276862264735,-1.337896710628278,-0.7336069042244028,-0.004982979916102681,0.7259116871924188,-0.6315302983513992,0.5772080007809759,0.8280611145408509,0.5144680061108342,-0.40209619185747486,0.9231760626314761
Michigan St.,52.900000000000006,45.4,37.6,29.6,39.8,22.3,18.4,16.400000000000002,35.9,30.3,52.4,45.4,73.0,74.2,35.9,46.6,69.5,57.3,13,Michigan St.,B10,14-2,115.64553549635887,90.88823815754328,0.941051884924364,0.6321244655338116,66.22373461856894,2026,0.4815200966600465,-1.6768661727901721,0.47393976684729966,-0.39980870865691065,2.010511199464809,-2.497360706143229,0.3240049659229905,-1.0013623118358317,0.15483468218072524,-1.5528856405344178,0.814767028164253,-1.2006538778138212,-0.6361083059878234,1.4909452569837554,-0.6629155819102115
UC Irvine,48.7,44.9,39.7,28.7,29.6,33.2,17.5,18.3,34.5,33.8,47.4,41.9,68.0,67.2,29.8,33.4,55.7,51.0,113,UC Irvine,BW,12-6,104.23124435419405,98.81601845849664,0.6487502801678623,0.4311109213704236,68.11241805104356,2026,-0.6298474254415078,-1.8207101570600692,0.05832520889391535,0.4200237557238358,-0.3196364192530831,0.5851167453477404,0.6881008556458638,-1.1437022163957935,-0.9433903274571466,-2.4015024030714076,0.33964897339769645,0.06729299240784806,-1.6682429388998534,-1.381255561947766,0.042813146811097845
Colorado,54.8,51.3,41.2,31.4,33.1,28.7,14.2,15.5,36.3,36.5,54.9,49.4,78.1,71.7,31.1,35.9,54.9,46.8,92,Colorado,B12,12-4,118.045709289527,107.9214850216122,0.7371448624946646,0.5526265922588233,69.6382952493319,2026,0.9842815947536042,0.020492841594613672,-1.4655948369351632,-0.7881504023109497,0.4799240381501154,-0.6874656887540367,0.9481693483050587,-0.7166825027159095,0.7039471869996611,-0.5830379119207151,0.9505150438118402,1.0454234351502805,-1.4482798204104042,-0.8372781341198264,0.6129750685058996
Northern Kentucky,53.3,55.50000000000001,32.5,38.3,33.900000000000006,32.300000000000004,17.2,20.4,34.4,37.2,54.7,55.3,75.4,69.7,43.8,40.6,55.4,56.2,179,Northern Kentucky,Horz,13-6,108.92955487068171,110.27584169434289,0.4647435708832151,0.324835406733239,69.38588206109758,2026,0.587364622574478,1.2287823094617525,-0.08021297709054663,1.3261543742499238,0.6626807141279903,0.3306002585273856,-0.5602279091182727,0.37459009891046074,0.6600181866141472,0.8474874877844961,0.3057119694857991,1.2990128091946156,0.7005906448326747,0.18539943019670047,0.5186579185896185
McNeese St.,52.2,49.4,37.0,41.4,35.9,38.3,14.7,24.6,33.3,33.6,53.5,48.6,75.8,70.7,35.3,48.1,48.8,60.1,70,McNeese St.,Slnd,14-3,117.04516609939807,105.07337255873318,0.7757139411140619,0.4473396334070141,67.00331419149587,2026,0.2962921763097868,-0.526114298630995,-1.2346978602943939,3.138415611302103,1.1195724040726736,2.0273768373297516,0.21997756885931224,0.8648719923947723,0.3964441843010573,-0.7770074576434549,-0.06759507354506758,-0.005161114461960139,-0.7376297452906463,1.8173317136805192,-0.37161652592285016
