Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Year,Conf Record,Away,Home,SOS
262,Lehigh,Pat,29,12–17,99.1,106.4,0.3059,49.8,51.5,17.1,17.9,22.1,23.2,33.7,29.6,50.1,50.0,32.9,36.1,37.4,37.2,71.2,-12.7,2024,9–9,,Lehigh,0.3238403647433603
263,Western Illinois,OVC,29,17–12,97.4,104.7,0.303,46.5,46.5,20.1,14.2,37.2,28.9,35.6,25.1,46.0,46.8,31.7,30.4,31.0,30.7,65.6,-8.0,2024,13–5,,Western Illinois,0.2897848001841038
264,New Hampshire,AE,29,15–14,98.9,106.5,0.2987,48.2,50.6,16.4,16.5,23.4,25.6,30.0,27.4,47.9,53.5,32.4,30.7,43.6,38.2,72.3,-8.8,2024,7–9,,New Hampshire,0.4143796753322339
265,Queens,ASun,31,12–19,103.1,111.2,0.2957,49.9,54.1,15.7,15.4,27.6,29.5,33.7,29.4,50.1,55.8,33.0,34.2,40.8,36.7,73.7,-13.5,2024,7–9,,Queens,0.401602278447308
266,Denver,Sum,29,13–16,107.6,116.1,0.2952,52.0,54.7,14.2,14.3,27.6,28.0,35.7,31.8,51.4,54.5,35.3,36.8,40.6,35.3,71.5,-11.6,2024,6–10,,Denver,0.3526121410807898
267,North Alabama,ASun,30,13–17,103.9,112.2,0.2924,49.8,51.5,14.6,14.2,27.0,27.8,32.9,40.9,47.9,50.6,35.6,35.4,34.6,34.8,68.7,-12.2,2024,8–8,,North Alabama,0.3627343533482684
268,New Mexico St.,CUSA,27,9–18,99.1,107.1,0.2923,46.8,50.7,17.8,16.1,25.4,29.7,33.0,44.6,46.9,49.8,31.1,34.6,34.8,42.7,67.3,-11.8,2024,7–9,,New Mexico St.,0.470528255358442
269,Kennesaw St.,ASun,28,12–16,104.0,112.4,0.2914,51.5,53.1,16.0,17.6,30.0,30.5,35.4,43.2,53.0,51.3,32.9,37.2,42.5,39.5,75.0,-12.6,2024,6–10,,Kennesaw St.,0.3272837947369169
270,Nebraska Omaha,Sum,29,11–18,102.6,110.8,0.2913,49.5,53.4,14.5,15.9,24.7,26.4,39.7,32.2,50.5,53.3,31.6,35.7,33.0,42.5,68.3,-13.5,2024,7–9,,Nebraska Omaha,0.3449552648348655
271,Central Michigan,MAC,30,17–13,96.1,103.9,0.2905,46.9,47.5,17.7,16.3,29.1,30.2,27.9,30.6,48.0,48.1,30.0,31.1,35.0,41.0,66.4,-7.4,2024,12–6,,Central Michigan,0.3944272515224473
272,The Citadel,SC,29,8–21,101.2,109.5,0.2878,50.6,53.5,18.0,16.1,27.3,26.8,33.7,22.5,51.3,54.1,32.8,35.2,33.3,39.9,66.3,-15.7,2024,3–15,,The Citadel,0.4235228857849528
273,Oral Roberts,Sum,28,9–19,103.0,111.4,0.2875,51.1,51.4,14.2,14.5,20.9,30.6,26.0,32.3,49.1,50.0,36.0,35.8,42.1,38.5,68.6,-13.6,2024,5–11,,Oral Roberts,0.4171232769126082
274,Howard,MEAC,29,13–16,104.4,113.1,0.2849,51.8,51.2,21.4,17.0,33.1,31.1,40.6,39.1,49.3,51.1,37.1,34.3,38.5,34.4,69.0,-12.3,2024,9–5,Howard,R,0.3094051378437252
275,Utah Tech,WAC,30,10–20,99.1,107.4,0.2849,50.4,50.4,21.8,18.3,28.2,31.6,40.3,43.2,50.2,50.1,33.7,33.9,34.7,36.7,71.2,-13.9,2024,7–13,,Utah Tech,0.4668086832844519
276,Central Connecticut,NEC,29,18–11,100.0,108.4,0.284,50.2,49.6,16.7,17.5,27.6,26.8,33.0,26.7,50.8,48.2,32.8,34.8,35.4,35.2,67.7,-8.1,2024,13–3,,Central Connecticut,0.2597516505967535
277,Portland,WCC,31,10–21,103.4,112.2,0.2807,50.5,55.3,17.1,13.2,23.6,28.8,31.7,22.6,49.9,53.9,34.1,38.0,44.5,45.1,68.6,-13.3,2024,5–11,,Portland,0.5034850769149575
278,Binghamton,AE,28,13–15,101.5,110.4,0.2755,49.4,50.0,18.0,13.3,29.1,25.0,34.3,34.8,51.4,48.4,29.9,35.0,30.7,38.0,67.5,-10.7,2024,7–9,,Binghamton,0.3599393381296344
279,UMBC,AE,31,10–21,103.9,113.1,0.2751,52.7,50.3,17.5,14.9,25.5,31.0,24.1,28.3,52.6,52.2,35.3,31.3,35.1,36.4,74.2,-16.9,2024,6–10,,UMBC,0.3552416801329948
